"","Id","Date","count(*)"
"1","--2T2n4CSoGtixY2myx2zQ","5/5/2015",1
"2","--3-Re8C92XoDGymUWJ-sQ","2/1/2014",1
"3","--6iSNaKIUOJwQjoc8lmYQ","2/17/2015",1
"4","--7yEjh9akMA65t6OZTF4A","10/25/2014",1
"5","--8M2DZ9JkDwTveuRhLPTQ","7/29/2012",1
"6","--E3Jv04c31v7IzBHFpnLA","9/27/2015",1
"7","--FwkHzfuBOs4rBQYURauQ","9/26/2015",1
"8","--UGYwtHWm8sqy4tpj_Brw","8/28/2014",1
"9","--e5ZSuEStk-vj5REKuVQQ","9/1/2015",1
"10","--hP9CmwKaJSZJVOjeOEOA","2/5/2016",1
"11","--rHa1_ydSUe8VHwtvc5MQ","3/8/2016",1
"12","--yffBjlyVoCQRUWxN1vQA","12/4/2015",1
"13","--yffBjlyVoCQRUWxN1vQA","3/9/2016",1
"14","-08NEJPJr02wvPwoYrBIqQ","11/13/2013",1
"15","-0FX2l6BS8irOInxQF_Q8w","3/2/2011",1
"16","-0KoOjEE_i1n2gNNOCNOuw","12/1/2011",1
"17","-0_MCr1MGpbAff9KZogppg","12/29/2015",1
"18","-0eFJUTLT7bShql0qhj6zw","1/10/2016",1
"19","-0lv5f-VarQ9rrJl8LJo4g","4/20/2014",1
"20","-0pmeB_AOzr0Ji5km2h5ZQ","10/17/2015",1
"21","-0pmeB_AOzr0Ji5km2h5ZQ","5/20/2014",2
"22","-0rQZtwUPODsJrBwdLtMng","2/25/2015",1
"23","-12bJFlzgKHx075fK5OM4w","12/29/2011",1
"24","-1Ab0ol4GxRyuN6_BaQWzg","9/13/2014",1
"25","-1GoBC21WvMThIDd4Lxw-Q","2/12/2016",1
"26","-1WrNjQ5wZEa6nJuLeur9w","2/8/2016",1
"27","-1WrNjQ5wZEa6nJuLeur9w","9/27/2015",1
"28","-1quHxF2wZQg6fuaYtldZA","8/20/2014",1
"29","-1xznHdSy4Qjkp94mOdaUQ","4/16/2015",1
"30","-1xznHdSy4Qjkp94mOdaUQ","5/12/2015",1
"31","-2buR_RlNIGXDcBfIUZwdQ","1/10/2015",1
"32","-2hs3OUIN1l9A5GesgIaCA","7/25/2015",1
"33","-2tGHt8N8frxY6kvQbnC_Q","4/16/2015",1
"34","-2vTjHVCp6RklYdsBEbGsA","10/15/2012",1
"35","-2vTjHVCp6RklYdsBEbGsA","10/26/2012",1
"36","-35-pc_xKda62vzD4qGxYQ","12/21/2013",1
"37","-3Q5VU9betsM5G75zHL12A","2/27/2016",1
"38","-3TD_C4Xo1T8KgJuKYjkHg","6/16/2015",1
"39","-3YiFQUHO_tZE5yeNlGvKQ","1/30/2012",1
"40","-3bYphXT6sC_SrUM7eDPLA","10/22/2013",1
"41","-3gL9XNkLefgb1Xb7IVBDw","10/8/2014",1
"42","-3sbwlzIks2za0h2YmneNA","11/8/2015",1
"43","-3zrbq8x6Bm7pYilOG7A5Q","9/20/2015",1
"44","-4BQBGRAVwc0wZlsx5Ic9g","3/14/2016",1
"45","-4O5O5rsDPJYpJU3yDP4Fw","3/20/2016",2
"46","-4OZwpypdvAdUIY8VWgxsA","1/6/2013",1
"47","-4QsrhVnJdUdjjGAytgloQ","7/29/2014",1
"48","-4T2euoYh3l41K5FvGBl-g","7/16/2015",1
"49","-4imtRiYqNwr22i2VLidjg","2/20/2015",1
"50","-4o4Bg4Fh10yxZjQJVs84A","1/8/2016",1
"51","-4oPWqGdnHq7y29GRk2ymA","2/20/2016",1
"52","-4wRwaBCrgXILpwf8vVXow","2/21/2014",1
"53","-57lfjbGckwXPWAeuhb8og","10/31/2015",1
"54","-5UQ4ITQnBIpl2y-iCYiRQ","12/29/2015",1
"55","-5Wz08F8n9-pMyEVygMnMg","1/18/2016",1
"56","-5d-3I2W7D3dnOw3hWoLog","1/5/2014",1
"57","-5j_5sPfYkcqa70hVUzqQw","12/16/2014",1
"58","-5j_5sPfYkcqa70hVUzqQw","2/20/2014",2
"59","-5j_5sPfYkcqa70hVUzqQw","5/27/2015",1
"60","-5j_5sPfYkcqa70hVUzqQw","6/24/2015",1
"61","-5j_5sPfYkcqa70hVUzqQw","7/3/2014",1
"62","-5kNIkOUU4PeVWTTUqxP_A","7/10/2015",1
"63","-65GLJfyN368Pa2t6_wTtQ","7/16/2014",1
"64","-68UTQu8FKmZCuYcAMZucg","12/28/2014",1
"65","-6HXMepmsSVSh5q1Ac8Dlw","3/25/2016",1
"66","-6OcRU2XhtDBTac_AJ6X7Q","3/31/2015",1
"67","-6OcRU2XhtDBTac_AJ6X7Q","4/3/2015",1
"68","-6OcRU2XhtDBTac_AJ6X7Q","4/7/2015",1
"69","-6eieSonS-ej2QFijAtIFw","9/11/2013",1
"70","-6ghYQ3qcN_0aE4QUtCbSg","9/17/2014",1
"71","-6vMXiXumCRDxcoA9uqDbw","12/10/2014",1
"72","-6vMXiXumCRDxcoA9uqDbw","12/5/2014",1
"73","-7894NiS1AC7SNfAyezufg","3/3/2016",1
"74","-78xz5dSfubrn1cmFvGctA","2/18/2009",1
"75","-7ANktvtyLFBCk_LWaPwQA","9/28/2015",1
"76","-7CPvamkWp7_1FGYI1Vo3A","10/14/2015",1
"77","-7Nw4ZbpzKra8aK5grHJJA","3/12/2016",1
"78","-7clWb3yoSoIf1U8AQcGaw","5/31/2014",1
"79","-7dfU3secoGDLd76Eq_9Eg","1/20/2016",1
"80","-7iX3kX68AAESFzrQtlpVw","11/4/2015",1
"81","-7iX3kX68AAESFzrQtlpVw","2/17/2015",1
"82","-7iX3kX68AAESFzrQtlpVw","4/27/2013",1
"83","-7iX3kX68AAESFzrQtlpVw","7/23/2014",1
"84","-7iX3kX68AAESFzrQtlpVw","9/7/2015",1
"85","-7uKirACvr8b-coqnc5caQ","8/4/2014",1
"86","-85tCcvdh4fb1imoaxmfqA","2/13/2016",2
