"","ReviewerID","Total","Positive","Percentage"
"1","--2T2n4CSoGtixY2myx2zQ",1,1,100
"2","--3-Re8C92XoDGymUWJ-sQ",1,1,100
"3","--6iSNaKIUOJwQjoc8lmYQ",1,1,100
"4","--8M2DZ9JkDwTveuRhLPTQ",1,1,100
"5","--E3Jv04c31v7IzBHFpnLA",1,1,100
"6","--FwkHzfuBOs4rBQYURauQ",1,1,100
"7","--UGYwtHWm8sqy4tpj_Brw",1,1,100
"8","--e5ZSuEStk-vj5REKuVQQ",1,1,100
"9","--rHa1_ydSUe8VHwtvc5MQ",1,1,100
"10","--yffBjlyVoCQRUWxN1vQA",2,1,50
"11","-0FX2l6BS8irOInxQF_Q8w",1,1,100
"12","-0KoOjEE_i1n2gNNOCNOuw",1,1,100
"13","-0_MCr1MGpbAff9KZogppg",1,1,100
"14","-0eFJUTLT7bShql0qhj6zw",1,1,100
"15","-0lv5f-VarQ9rrJl8LJo4g",1,1,100
"16","-0pmeB_AOzr0Ji5km2h5ZQ",3,2,66
"17","-0rQZtwUPODsJrBwdLtMng",1,1,100
"18","-12bJFlzgKHx075fK5OM4w",1,1,100
"19","-1Ab0ol4GxRyuN6_BaQWzg",1,1,100
"20","-1WrNjQ5wZEa6nJuLeur9w",2,1,50
"21","-1quHxF2wZQg6fuaYtldZA",1,1,100
"22","-1xznHdSy4Qjkp94mOdaUQ",2,1,50
"23","-2buR_RlNIGXDcBfIUZwdQ",1,1,100
"24","-2hs3OUIN1l9A5GesgIaCA",1,1,100
"25","-2tGHt8N8frxY6kvQbnC_Q",1,1,100
"26","-2vTjHVCp6RklYdsBEbGsA",2,2,100
"27","-3Q5VU9betsM5G75zHL12A",1,1,100
"28","-3gL9XNkLefgb1Xb7IVBDw",1,1,100
"29","-3zrbq8x6Bm7pYilOG7A5Q",1,1,100
"30","-4O5O5rsDPJYpJU3yDP4Fw",2,2,100
"31","-4OZwpypdvAdUIY8VWgxsA",1,1,100
"32","-4T2euoYh3l41K5FvGBl-g",1,1,100
"33","-4o4Bg4Fh10yxZjQJVs84A",1,1,100
"34","-4oPWqGdnHq7y29GRk2ymA",1,1,100
"35","-4wRwaBCrgXILpwf8vVXow",1,1,100
"36","-5UQ4ITQnBIpl2y-iCYiRQ",1,1,100
"37","-5Wz08F8n9-pMyEVygMnMg",1,1,100
"38","-5d-3I2W7D3dnOw3hWoLog",1,1,100
"39","-5j_5sPfYkcqa70hVUzqQw",6,4,66
"40","-5kNIkOUU4PeVWTTUqxP_A",1,1,100
"41","-65GLJfyN368Pa2t6_wTtQ",1,1,100
"42","-6HXMepmsSVSh5q1Ac8Dlw",1,1,100
"43","-6ghYQ3qcN_0aE4QUtCbSg",1,1,100
"44","-6vMXiXumCRDxcoA9uqDbw",2,1,50
"45","-7894NiS1AC7SNfAyezufg",1,1,100
"46","-78xz5dSfubrn1cmFvGctA",1,1,100
"47","-7ANktvtyLFBCk_LWaPwQA",1,1,100
"48","-7CPvamkWp7_1FGYI1Vo3A",1,1,100
"49","-7Nw4ZbpzKra8aK5grHJJA",1,1,100
"50","-7dfU3secoGDLd76Eq_9Eg",1,1,100
"51","-7iX3kX68AAESFzrQtlpVw",5,5,100
"52","-7uKirACvr8b-coqnc5caQ",1,1,100
"53","-85tCcvdh4fb1imoaxmfqA",2,2,100
"54","-87CsumC6QGNSSrJlDdRKg",1,1,100
"55","-882iz4kFbz94tQM4ZtxBg",1,1,100
"56","-8HZvpFHijH7pmY2onx3sg",2,2,100
"57","-8VfkpCwbli3tmuYLmIUPw",3,1,33
"58","-8fZOalOn6WTXkYFDaqMBw",1,1,100
"59","-8gfYA7uNBtrKVr8K6_jfg",1,1,100
"60","-8kQ0FhLXKIcAbrwM0oFYg",1,1,100
"61","-8xAQ91X8srL7J4FwgJOlA",1,1,100
"62","-8z8ixBAq8x3CVXkL5p-RA",1,1,100
"63","-93Kvd_XGo_mmVJGYKe_hg",1,1,100
"64","-950wRGiu7u11TECCFlJ6w",1,1,100
"65","-9TKinGDn2TxxgK3g4jN0g",1,1,100
"66","-9XGk7apKHKdZmjAQsLtFw",7,3,42
"67","-9fbobO3WgSBh2eHk-mxQw",1,1,100
"68","-A8fxQgSYnGYUg7jH7u7vg",1,1,100
"69","-AA8yLa3ApXnKw2RvbMlBQ",2,1,50
"70","-ASMepkfiB2_u6il8wp5zg",2,2,100
"71","-Ao4U6Hp3gP8PlZXN7UoOA",1,1,100
"72","-BA0lhK-11ZRh-AwE7srWw",1,1,100
"73","-BF561-Xvw8soJ9oHkKmnA",1,1,100
"74","-BFYoJqHTwUCCz6TwEKCWQ",1,1,100
"75","-BJIEgbn0nu-JGRA99KU9Q",1,1,100
"76","-BKKJct1YKLq2klOueYyRA",2,1,50
"77","-BSQWF9JILQdg-H26la7jw",1,1,100
"78","-BXFoHnMk8pB79Y3jhVVmw",1,1,100
"79","-BYUsRqxtq5kB1R_6-8XWQ",1,1,100
"80","-BpFrHgDOKrafGaw8pxnHg",1,1,100
"81","-COg8FG_Ok__xfr4a0ONjQ",1,1,100
"82","-CUfYeyHzDeHPZt1XYXw8Q",1,1,100
"83","-Ccq4gb3FuVzYJnSnopS9g",1,1,100
"84","-D0BuaxI5351hZZl48ru9Q",1,1,100
"85","-DYDMmTu4_XzdlV8J5enVg",1,1,100
"86","-E5-1WlgUgvwU_KLQyrFMg",1,1,100
"87","-EPRV3YSJTLoSsAcKJYmNQ",1,1,100
"88","-ES4DccuRlxbfqCn3eMCmw",1,1,100
"89","-EWQ9qJE0iRvODHQpbMsZQ",1,1,100
"90","-EXH_ZFnCvpjz72WH_S9Zw",1,1,100
"91","-EbUgQyJ1KFdA0Ac6-WSeQ",1,1,100
"92","-EjP9mSbyKwBB6niMN-Q9g",1,1,100
"93","-F-zwOKw2ABlxEhysSx6gQ",1,1,100
"94","-F0Ad9jfX4ciOS1BG1Ow9Q",1,1,100
"95","-F1LDUlKZnhsyF386nzA_w",1,1,100
"96","-FL3-KW6RNl7qyJnksnpLg",3,1,33
"97","-FYJLnTQhfrsZbxJ63OBCw",1,1,100
"98","-FbeEpgf01NyTDdBcXtgVg",1,1,100
"99","-FdK7x4gtbo43Xl-bxIruA",1,1,100
"100","-FdtcO35IKoBAqNZBYG2ww",1,1,100
"101","-FgMkABFBn89n61hZUGjgg",1,1,100
"102","-Fn8VFQrwjZpi50nsue1wQ",1,1,100
"103","-Fy0zGtC2RJoVOaK_Zbxfw",1,1,100
"104","-G8ofpuP4KY3T7PbFWXb9Q",1,1,100
"105","-GK0vd6T2F97IJEf0vLGXw",1,1,100
"106","-GLhszrtHhVz9bYY5_QCCw",1,1,100
"107","-GPb064YiWLdTzzTKqyN1w",1,1,100
"108","-GRgUAsk9gD7wW2PzW4l3A",1,1,100
"109","-GUfLOb7E5Wug0FWZMqLAg",1,1,100
"110","-GWvBB5_35zYIfW0Rcay4A",1,1,100
"111","-GXZZYGGWK05hMyjGM0eRw",1,1,100
"112","-GayORFHzyKaxJmTVdp-2A",2,2,100
"113","-GnOgyF-MubDpIcrX3XY-A",1,1,100
"114","-H1RFWqV6brOhCfyaJFGtw",1,1,100
"115","-H2gVHDobSLxHNci2H4ggg",5,4,80
"116","-HYUX74pTzm-b2nh_FV2Hw",1,1,100
"117","-IBeMzPqYdJfdVib1-ZXvg",1,1,100
"118","-IJ84YV9SZVCyB_u0sgA0A",1,1,100
"119","-IPRZclyLO0QDNKosowfhQ",1,1,100
"120","-IRgcXOHQBQqnzSfzY6uNw",1,1,100
"121","-IbjBfmclA_GD_pjrQTVUw",1,1,100
"122","-IswtZ78rzCHMqJkwF6OWA",1,1,100
"123","-J2Y1-6p5_svY-V8WBy8yQ",1,1,100
"124","-JE88hHLWiaBYZk24M2otg",1,1,100
"125","-JLrlqSv3ABYE3oTjpGQUg",2,2,100
"126","-JnGIHQo9hJqWgcYsH9wFw",1,1,100
"127","-Kdooq_MH7QyFU5haZXeGg",1,1,100
"128","-L3B9YB22Xs-PL_P_y19jQ",3,3,100
"129","-L4h7dz6eqMdAf7_IZhfSw",1,1,100
"130","-L8AUNauMrCJFKQOvM1pBA",1,1,100
"131","-LCZ7EsvsFKfTmdf0H-G-Q",1,1,100
"132","-LY3sNr3N4OnQJFmiDTUXQ",1,1,100
"133","-LmbUuKDohaIfdcGQuT2XQ",1,1,100
"134","-M6pjbBwWfMOnQjxz7yg_w",2,1,50
"135","-MF_lP11rDbnOMRTdOzcNg",1,1,100
"136","-MHioSAZa9FDeEzY8SKlBQ",1,1,100
"137","-MUs8BVs6yVtim9FNVocTw",1,1,100
"138","-Mm8MLRu7BvApF1csS60pw",2,2,100
"139","-NIPsSOtFiUWv9EBuMU3SQ",1,1,100
"140","-NcMdRFNbQecB_6K90aulQ",1,1,100
"141","-NmbA_hDvBC0REyLUhL9Bw",1,1,100
"142","-Nmw1DJNseWYkqa9qTPpTw",2,2,100
"143","-Nt6dbm0O3CoZLZ9YvdtUw",2,2,100
"144","-O6wi2w9ovssW5uP-VFqGw",1,1,100
"145","-OQL1i1tmpnZKkebCZSknQ",1,1,100
"146","-OYqPlsR7fZxep2w4vq2OQ",1,1,100
"147","-OncuMgWULJTeCWBLIooNg",1,1,100
"148","-OyqPVx5cc_g3vu58y_67Q",1,1,100
"149","-P51DxGgxcv3pfoALuP41A",1,1,100
"150","-P54o-pBFuli_XAd2liblw",1,1,100
"151","-PWTC7uRml8hpgbt0m0FyQ",1,1,100
"152","-PjK81Pls9DWca_c1I32RA",1,1,100
"153","-PmOzlQxCSiiPvWTtGmZOw",1,1,100
"154","-Q3GJGSwEmu0P0YQAaLdNw",1,1,100
"155","-Q5HnlYHuPlXmqjRe23-Jw",2,2,100
"156","-QGN4zBNAKqMWs0XS5EKbw",1,1,100
"157","-QgoAii4THwEIiKxMvqsiw",1,1,100
"158","-Qp1thRAsbQT-spBFCpFxA",1,1,100
"159","-QuglJ3JYvmWVePozrPvBg",1,1,100
"160","-Qw84YvAaogT2qaYvVkITA",1,1,100
"161","-R7fkp8lemYDQskC0ULdjw",1,1,100
"162","-R9eQQiRoPUPrgeqLDLT9A",1,1,100
"163","-RQbz8xkB-9ZMiKZ5vvtrg",1,1,100
"164","-RiIC9GYXzC2fh6Y0UE6CQ",1,1,100
"165","-Ru27wOi7yjUeO3jpagc1w",1,1,100
"166","-RwZBF-bzu6nYOujBnBpsw",1,1,100
"167","-SFTeEW94blJba-oYwrbKg",1,1,100
"168","-SYieOGzyMlGRyZmodebzQ",2,2,100
"169","-Se4DtIUN03yXVclBN87Ew",1,1,100
"170","-SgdYToYVaG61jdtXURGiA",1,1,100
"171","-Smq6lQO5-SBBvpW_l2khQ",1,1,100
"172","-SwNBozpV_vLZa2ujt6L9A",3,3,100
"173","-T2na3FizBq4By9i3aG4CA",1,1,100
"174","-TDNECcns5_IdNfUw08aeA",2,1,50
"175","-TO-jdpUpKjDk1B3Ph5Dfg",1,1,100
"176","-TTBH_EbW6C2FDBgaIYy4A",1,1,100
"177","-TVbXY-wrCRPX0Qi3hiAvA",4,3,75
"178","-TcVZlkow_2e-GXgaQyNRA",3,2,66
"179","-TgYsTDOZ1lj5YGHRULZxA",2,1,50
"180","-Tjm8cd3JE0YG8Tn4W1Jqg",1,1,100
"181","-Tniud6omp2U8Qrve8c3ZA",1,1,100
"182","-TrjzFXH52xQpaYyee6PTA",1,1,100
"183","-U4Vp3FHkEyEjuToSLaPlg",4,1,25
"184","-U7MSZLy4tfgwBmOLSjuzQ",1,1,100
"185","-UBkwSUaWwT0_fgsvK_rNw",1,1,100
"186","-UIKNEkvDh3MLDKA1_yGEA",1,1,100
"187","-UK_wJQMX0TPsXOat4f-Hg",1,1,100
"188","-UQABhm2lM2bWMydgsHnfA",2,1,50
"189","-UmA32BHmbbb_ACONV3idA",1,1,100
